date_id, file_name, date
541,WEBPXTICK_DT-20110427.gz,20110427
542,WEBPXTICK_DT-20110426.gz,20110426
543,WEBPXTICK_DT-20110425.gz,20110425
544,WEBPXTICK_DT-20110422.gz,20110422
545,WEBPXTICK_DT-20110421.gz,20110421
546,WEBPXTICK_DT-20110420.gz,20110420
547,WEBPXTICK_DT-20110419.gz,20110419
548,WEBPXTICK_DT-20110418.gz,20110418
549,WEBPXTICK_DT-20110415.gz,20110415
550,WEBPXTICK_DT-20110414.gz,20110414
551,WEBPXTICK_DT-20110413.gz,20110413
552,WEBPXTICK_DT-20110412.gz,20110412
553,WEBPXTICK_DT-20110411.gz,20110411
554,WEBPXTICK_DT-20110408.gz,20110408
555,WEBPXTICK_DT-20110407.gz,20110407
556,WEBPXTICK_DT-20110406.gz,20110406
557,WEBPXTICK_DT-20110405.gz,20110405
558,WEBPXTICK_DT-20110404.gz,20110404
559,WEBPXTICK_DT-20110401.gz,20110401
560,WEBPXTICK_DT-20110331.gz,20110331
561,WEBPXTICK_DT-20110330.gz,20110330
562,WEBPXTICK_DT-20110329.gz,20110329
563,WEBPXTICK_DT-20110328.gz,20110328
564,WEBPXTICK_DT-20110325.gz,20110325
565,WEBPXTICK_DT-20110324.gz,20110324
566,WEBPXTICK_DT-20110323.gz,20110323
567,WEBPXTICK_DT-20110322.gz,20110322
568,WEBPXTICK_DT-20110321.gz,20110321
